"Date,Open,High,Low,Close"
"07/2017,12,396.34,12,676.52,12,097.36,12,118.25"
"06/2017,12,623.61,12,951.54,12,319.00,12,325.12"
"05/2017,12,478.46,12,841.66,12,433.51,12,615.06"
"04/2017,12,368.82,12,486.29,11,941.57,12,438.01"
"03/2017,11,915.03,12,313.29,11,850.27,12,312.87"
"02/2017,11,646.42,12,031.11,11,479.78,11,834.41"
"01/2017,11,426.38,11,893.08,11,414.82,11,535.31"
"12/2016,10,593.06,11,481.66,10,402.59,11,481.06"
"11/2016,10,724.14,10,802.39,10,174.92,10,640.30"
"10/2016,10,492.97,10,827.72,10,349.06,10,665.01"
"09/2016,10,622.33,10,780.42,10,189.94,10,511.02"
"08/2016,10,426.36,10,802.32,10,092.53,10,592.69"
"07/2016,9,742.84,10,381.90,9,304.01,10,337.50"
"06/2016,10,242.78,10,340.84,9,214.10,9,680.09"
"05/2016,10,091.17,10,365.24,9,737.00,10,262.74"
"04/2016,9,833.26,10,474.38,9,484.75,10,038.97"
"03/2016,9,482.66,10,112.17,9,471.09,9,965.51"
"02/2016,9,823.73,9,827.10,8,699.29,9,495.40"
"01/2016,10,485.81,10,485.91,9,314.57,9,798.11"
"12/2015,11,422.47,11,430.38,10,122.95,10,743.01"
"11/2015,10,749.98,11,430.87,10,607.46,11,382.23"
"10/2015,9,757.04,10,886.98,9,396.34,10,850.14"
"09/2015,10,073.74,10,512.61,9,325.05,9,660.44"
"08/2015,11,295.50,11,669.86,9,338.20,10,259.46"
"07/2015,11,050.32,11,802.37,10,652.79,11,308.99"
"06/2015,11,462.97,11,635.85,10,797.85,10,944.97"
"05/2015,11,506.84,11,920.31,11,167.55,11,413.82"
"04/2015,11,902.92,12,390.75,11,331.37,11,454.38"
"03/2015,11,408.28,12,219.05,11,193.30,11,966.17"
"02/2015,10,719.18,11,401.66,10,594.32,11,401.66"
"01/2015,9,869.13,10,810.57,9,382.82,10,694.32"
"12/2014,9,915.74,10,093.03,9,219.05,9,805.55"
"11/2014,9,305.73,9,992.67,9,148.78,9,980.85"
"10/2014,9,454.04,9,520.97,8,354.97,9,326.87"
"09/2014,9,484.53,9,891.20,9,369.62,9,474.30"
"08/2014,9,379.74,9,600.85,8,903.49,9,470.17"
